school.name,2015.cost.avg_net_price.overall,2015.student.undergrads_with_pell_grant_or_federal_student_loan
Erie Community College,4910.0,12733
Norco College,6029.0,9304
Middle Georgia State University,9369.0,7927
DeVry University-Illinois,26209.0,18264
University of North Georgia,10002.0,15507
Central Georgia Technical College,2717.0,7625
College of Western Idaho,6660.0,10318
Texas State Technical College,7391.0,12537
University of Phoenix-Arizona,17015.0,155872
Georgia Military College,8747.0,7221
South Louisiana Community College,7630.0,6332
University of California-Merced,13011.0,5884
Folsom Lake College,8700.0,7941
University of Arkansas,14546.0,21836
California State University-Fullerton,7454.0,32726
American River College,7068.0,29133
California State University-San Bernardino,6679.0,16743
California State University-Chico,13365.0,16081
California State University-Bakersfield,6027.0,7635
California State University-Stanislaus,6789.0,7847
Azusa Pacific University,27183.0,5918
Cabrillo College,7984.0,13594
University of Alabama at Birmingham,16023.0,11679
University of Alabama in Huntsville,18661.0,5618
Mesa Community College,8084.0,22711
Pima Community College,2721.0,28070
Scottsdale Community College,8407.0,9863
Phoenix College,7502.0,12107
GateWay Community College,7591.0,5950
Rio Salado College,7422.0,20215
University of California-Santa Barbara,14767.0,20238
University of California-Berkeley,13262.0,27126
California State University-East Bay,10363.0,12340
City College of San Francisco,4063.0,23636
College of the Canyons,5924.0,20237
De Anza College,5087.0,23123
Cosumnes River College,7954.0,14467
College of the Desert,8313.0,9719
Evergreen Valley College,10275.0,9134
Cuyamaca College,2538.0,8634
Grossmont College,675.0,18032
Fresno City College,4352.0,22308
Golden West College,12204.0,12444
Irvine Valley College,9311.0,13156
Hartnell College,9564.0,9805
Pulaski Technical College,9195.0,9241
Antelope Valley College,5422.0,14578
University of Arkansas-Fort Smith,7425.0,6830
Allan Hancock College,4529.0,11047
College of Alameda,5605.0,5796
San Diego State University,13475.0,28394
Riverside City College,7343.0,18547
University of Colorado Boulder,21806.0,26557
Broward College,9436.0,44119
Embry-Riddle Aeronautical University-Daytona Beach,30140.0,4967
Eastern Florida State College,6318.0,15931
College of Central Florida,6924.0,7931
Metropolitan State University of Denver,9521.0,21196
Front Range Community College,9777.0,18763
Gateway Community College,6834.0,8200
Delaware Technical Community College-Terry,7421.0,13703
Yale University,20910.0,5477
University of San Francisco,33655.0,6845
San Joaquin Delta College,9586.0,18572
San Joaquin Valley College-Visalia,18403.0,8169
Saddleback College,10899.0,20005
Loyola Marymount University,37606.0,6184
San Diego Miramar College,5558.0,11876
MiraCosta College,6141.0,14680
Modesto Junior College,7911.0,17586
Arapahoe Community College,9835.0,10401
Santa Monica College,5705.0,30158
Victor Valley College,7713.0,11597
Santa Rosa Junior College,6903.0,23144
College of San Mateo,2140.0,8935
Community College of Denver,8787.0,10296
Central Connecticut State University,17291.0,9871
Sacred Heart University,37928.0,4997
Post University,37101.0,7642
Merritt College,7559.0,6055
State College of Florida-Manatee-Sarasota,11644.0,10297
University of South Florida-Main Campus,11232.0,30155
St Petersburg College,10333.0,32681
Santa Fe College,9669.0,15055
The University of West Florida,11184.0,10072
Valencia College,6451.0,43217
Georgia State University,14290.0,25328
Brigham Young University-Idaho,8667.0,36624
Southwestern Illinois College,7423.0,10545
University of Idaho,13709.0,8615
Pensacola State College,6593.0,10317
Polk State College,8912.0,11060
Elgin Community College,4197.0,10929
City Colleges of Chicago-Wilbur Wright College,8496.0,12146
Armstrong State University,19265.0,6346
Columbus State University,11422.0,6880
University of Illinois at Urbana-Champaign,18143.0,32959
Illinois Central College,7778.0,10296
John C Calhoun State Community College,5134.0,10802
Jacksonville State University,17139.0,7647
University of South Alabama,15204.0,11479
University of Arizona,16099.0,32585
Central Arizona College,4480.0,5937
Western Illinois University,17219.0,9645
Ivy Tech Community College,6943.0,90426
Indiana Wesleyan University-Marion,26318.0,10392
Northern Illinois University,19259.0,15435
Des Moines Area Community College,11079.0,23526
University of Iowa,14085.0,22354
University of Massachusetts-Boston,11789.0,12108
University of Maryland-University College,12299.0,35154
Holyoke Community College,7240.0,6604
Montgomery College,7697.0,25517
Prince George's Community College,8448.0,13564
Anne Arundel Community College,15869.0,15274
Wichita State University,14945.0,11977
Butler Community College,9171.0,9003
Jefferson Community and Technical College,6618.0,13550
Murray State University,9808.0,9444
Grand Rapids Community College,5344.0,15668
Grand Valley State University,16491.0,21636
Central Michigan University,14509.0,20082
Northern Essex Community College,8761.0,6963
Worcester State University,17495.0,5563
Oakland Community College,4471.0,24031
Macomb Community College,6963.0,22914
Oakland University,11929.0,16935
Moraine Valley Community College,4863.0,15286
Triton College,5359.0,11577
Frederick Community College,5222.0,6031
Boston University,34910.0,18017
Boston College,33661.0,9704
Westfield State University,16808.0,5590
Suffolk University,29563.0,5390
Schoolcraft College,4574.0,11542
University of Southern Mississippi,12175.0,12005
Normandale Community College,13013.0,9539
Century College,8931.0,9478
Northwest Mississippi Community College,6134.0,7695
Missouri State University-Springfield,15314.0,18517
Metropolitan Community College-Kansas City,7453.0,18222
Missouri Southern State University,9011.0,5561
Ozarks Technical Community College,7521.0,14396
Wayne County Community College District,5438.0,16310
University of Minnesota-Duluth,16551.0,9987
University of New Hampshire-Main Campus,24013.0,12831
Atlantic Cape Community College,9310.0,6845
Truman State University,12586.0,5910
Bellevue University,8770.0,6291
East Carolina University,15450.0,22252
University at Buffalo,16695.0,19828
North Carolina A & T State University,9517.0,9203
University of North Carolina at Greensboro,11102.0,15313
North Carolina State University at Raleigh,14988.0,24473
University of North Carolina Wilmington,15909.0,12964
Pitt Community College,5451.0,8961
Pace University-New York,27416.0,8694
Monroe College,12225.0,6501
The New School,34945.0,6940
Rensselaer Polytechnic Institute,34841.0,5557
Cleveland State University,17136.0,11826
Lorain County Community College,2866.0,11569
SUNY Buffalo State,12237.0,9475
St John's University-New York,27044.0,15762
Orange County Community College,5684.0,6951
Farmingdale State College,9182.0,8394
SUNY College at Brockport,15165.0,7040
University of Rochester,24972.0,6266
Tulsa Community College,6353.0,17861
Northeastern State University,8604.0,7094
New Mexico State University-Dona Ana,6092.0,8448
Rutgers University-Newark,13705.0,7408
Central New Mexico Community College,3213.0,26771
Union County College,4466.0,11781
William Paterson University of New Jersey,16643.0,9619
Kean University,18781.0,11987
Middlesex County College,7408.0,12059
Camden County College,8277.0,12051
Bergen Community College,7019.0,15651
Rowan College at Gloucester County,7715.0,7130
Ocean County College,9764.0,9296
Rowan College at Burlington County,7396.0,9438
Mercer County Community College,3715.0,7839
Passaic County Community College,8490.0,8968
New Jersey Institute of Technology,17486.0,7550
SUNY Broome Community College,7640.0,5944
CUNY Bernard M Baruch College,7014.0,14857
CUNY Queens College,6678.0,15773
Dutchess Community College,7989.0,9905
CUNY Hostos Community College,7416.0,6985
Hudson Valley Community College,9013.0,12177
Columbia University in the City of New York,21031.0,8100
The College of New Jersey,24079.0,6743
Essex County College,9990.0,11468
Nassau Community College,3894.0,22374
New York University,36419.0,24985
Oakton Community College,5972.0,10589
Delgado Community College,8096.0,17509
Nicholls State University,10625.0,5690
Oklahoma State University-Oklahoma City,5386.0,6712
Linn-Benton Community College,10040.0,5366
Clackamas Community College,5328.0,7302
Oklahoma City Community College,7593.0,13444
Bloomsburg University of Pennsylvania,18546.0,9319
Lane Community College,8251.0,9388
Bucks County Community College,9002.0,9155
Oregon State University,19020.0,23903
Millersville University of Pennsylvania,19140.0,7171
University of Pittsburgh-Pittsburgh Campus,27917.0,18757
Asheville-Buncombe Technical Community College,8838.0,7507
Forsyth Technical Community College,3287.0,9148
Elon University,35454.0,5782
Bowling Green State University-Main Campus,18437.0,14099
Tri-County Technical College,7790.0,6386
Nashville State Community College,5412.0,10044
Southwest Tennessee Community College,4246.0,10262
West Chester University of Pennsylvania,22250.0,13844
Slippery Rock University of Pennsylvania,18493.0,7587
Shippensburg University of Pennsylvania,20449.0,6305
Brown University,27496.0,6548
Texas Tech University,16804.0,28632
Tarrant County College District,5380.0,50595
The University of Texas at Austin,17742.0,39523
Lone Star College System,6468.0,69395
Sam Houston State University,12887.0,16819
Texas A & M University-Kingsville,12602.0,9744
Prairie View A & M University,11029.0,6890
Texas Woman's University,9105.0,9680
The University of Texas at San Antonio,11843.0,24285
University of Houston,14134.0,33037
Utah State University,11559.0,24271
Weber State University,11571.0,25316
Tyler Junior College,8788.0,11168
Brigham Young University-Provo,12597.0,27163
West Texas A & M University,12771.0,7133
University of Wisconsin-Milwaukee,16746.0,22674
West Virginia University,11206.0,22563
Tacoma Community College,6320.0,7189
University of Wisconsin-Oshkosh,14807.0,13311
Fox Valley Technical College,10431.0,10561
Northeast Wisconsin Technical College,9580.0,10406
Marquette University,31093.0,8410
Inter American University of Puerto Rico-Ponce,5242.0,5363
University of Wisconsin-Stevens Point,13621.0,9006
University of Wisconsin-River Falls,14402.0,5740
Collin County Community College District,6280.0,27991
Kilgore College,5814.0,5790
Thomas Nelson Community College,7694.0,10436
J Sargeant Reynolds Community College,7525.0,11861
University of Virginia-Main Campus,19430.0,16483
Southern Methodist University,32580.0,6391
Virginia Commonwealth University,21741.0,23661
Columbia Basin College,8048.0,6385
Las Positas College,4499.0,8921
Everest University-South Orlando,21429.0,22340
Johnson & Wales University-Providence,26045.0,9173
University of South Carolina-Columbia,18555.0,24866
College of Charleston,17826.0,10440
Clemson University,15885.0,17260
Volunteer State Community College,7721.0,7664
Baylor University,32657.0,13859
Tennessee State University,10493.0,6967
Austin Community College District,9254.0,40949
Houston Community College,7581.0,58276
Del Mar College,4992.0,10439
Central Texas College,4548.0,20547
North Central Texas College,6035.0,10186
California State University-San Marcos,10547.0,11559
Kaplan University-Davenport Campus,16037.0,38784
California State University-Monterey Bay,11064.0,6231
Georgia Gwinnett College,13113.0,10828
University of Phoenix-California,17964.0,19688
Arizona State University-Skysong,13990.0,11342
Chamberlain College of Nursing-Illinois,22432.0,13279
Baton Rouge Community College,8513.0,7741
Suffolk County Community College,5782.0,26600
The Community College of Baltimore County,8545.0,22887
Santiago Canyon College,3908.0,11202
Embry-Riddle Aeronautical University-Worldwide,17330.0,9755
The University of Alabama,20575.0,30752
Auburn University,22183.0,20629
University of Alaska Fairbanks,9942.0,7484
Glendale Community College,6995.0,20506
Northern Arizona University,14785.0,23328
California State University-Fresno,6112.0,20511
California State Polytechnic University-Pomona,13390.0,22395
University of Central Arkansas,13063.0,9842
Butte College,5073.0,12157
Academy of Art University,32085.0,10044
California Baptist University,30628.0,6435
California State University-Northridge,6797.0,35616
Chapman University,36367.0,6211
Cerritos College,2561.0,21775
East Los Angeles College,8005.0,36018
Diablo Valley College,5586.0,20115
University of California-Riverside,11779.0,18790
University of California-Davis,15052.0,27565
University of California-Santa Cruz,17222.0,16277
University of California-San Diego,13913.0,24810
Canada College,4078.0,6498
Bakersfield College,3179.0,18698
University of La Verne,20606.0,5211
Glendale Community College,2596.0,15114
Foothill College,3913.0,15469
Long Beach City College,4710.0,24403
Los Angeles Pierce College,7164.0,21045
Los Angeles City College,5738.0,18748
Colorado State University-Fort Collins,16777.0,23598
Yuba College,4638.0,6643
Mt San Antonio College,2732.0,29044
Palomar College,3554.0,24914
Los Angeles Valley College,7475.0,18680
Mt San Jacinto Community College District,5508.0,14580
Moorpark College,2417.0,13880
Oxnard College,2719.0,7148
Santa Barbara City College,9781.0,17927
Sonoma State University,15710.0,8512
Southwestern College,4042.0,19000
Solano Community College,7519.0,9824
San Bernardino Valley College,6810.0,12965
Santa Clara University,34425.0,5486
University of Southern California,29174.0,18739
West Valley College,9893.0,9062
Laney College,8902.0,10715
Los Angeles Trade Technical College,5843.0,14662
Merced College,9008.0,10196
Los Medanos College,4875.0,8750
Pikes Peak Community College,9672.0,13947
University of Northern Colorado,18946.0,9469
University of Connecticut,20023.0,18395
Howard University,24729.0,7013
Georgetown University,30580.0,7595
University of Hartford,29722.0,4956
Western Connecticut State University,17564.0,5442
American University,36480.0,7706
Quinnipiac University,35653.0,6553
Naugatuck Valley Community College,6299.0,7102
Manchester Community College,4010.0,7300
University of Central Florida,14221.0,52671
Daytona State College,4986.0,13248
Florida Atlantic University,13427.0,25490
Florida State College at Jacksonville,7623.0,25514
Florida Agricultural and Mechanical University,11679.0,8495
Florida SouthWestern State College,8958.0,15389
San Francisco State University,12768.0,25938
San Jose State University,13183.0,26664
Sacramento City College,7033.0,23317
Pasadena City College,5396.0,26617
San Diego City College,5411.0,16298
Rio Hondo College,5004.0,16217
Santa Ana College,4153.0,29590
San Jose City College,9326.0,9075
University of Cincinnati-Main Campus,22180.0,24300
Columbus State Community College,6804.0,24448
University of Akron Main Campus,17350.0,19710
North Dakota State University-Main Campus,15139.0,12124
University of Dayton,27884.0,8529
Sinclair Community College,5269.0,19093
Owens Community College,6795.0,12561
North Carolina Central University,10743.0,5917
University of North Carolina at Chapel Hill,13744.0,18350
SUNY at Binghamton,18870.0,13412
SUNY Cortland,19208.0,6317
SUNY College at Geneseo,17850.0,5497
Central Piedmont Community College,6665.0,19957
Gaston College,10355.0,5777
Duke University,34137.0,6626
University of Oklahoma-Norman Campus,16418.0,21011
University of Central Oklahoma,12141.0,14998
Wright State University-Main Campus,14101.0,12682
Rose State College,8095.0,6889
Portland Community College,9386.0,30929
