,Rank,school_name,Payment Difference
117,1,Yale University,-95205
2024,2,Washington University in St Louis,-83955
2180,3,Stanford University,-75714
1714,4,University of Chicago,-57943
1035,5,Vanderbilt University,-56616
1772,6,Johns Hopkins University,-55079
446,7,Columbia University in the City of New York,-46053
432,8,CUNY Graduate School and University Center,-44074
1328,9,Massachusetts Institute of Technology,-37991
1112,10,Texas Tech University Health Sciences Center,-37618
956,11,Duke University,-36588
1890,12,Princeton University,-36271
1525,13,University of California-Los Angeles,-28451
746,14,Metro Technology Centers,-20718
942,15,SUNY Polytechnic Institute,-20049
684,16,Rice University,-19018
1329,17,Harvard University,-17493
1352,18,Wellesley College,-17431
1239,19,Emory University,-17360
1698,20,University of Hawaii at Manoa,-15287
1727,21,University of Illinois at Chicago,-14702
2174,22,Wisconsin Indianhead Technical College,-14513
1980,23,University of Pennsylvania,-14177
1716,24,Atlantic Technical College,-14067
857,25,Pomona College,-13876
1647,26,University of Colorado Denver/Anschutz Medical Campus,-13737
1839,27,CUNY City College,-13403
858,28,University of Southern California,-12901
933,29,University of North Carolina at Chapel Hill,-12895
2190,30,Lakeshore Technical College,-12863
1494,31,Stony Brook University,-12574
1354,32,Williams College,-12229
1874,33,SUNY College of Environmental Science and Forestry,-12167
2183,34,Gateway Technical College,-12131
1154,35,Blackhawk Technical College,-11913
2173,36,Waukesha County Technical College,-11889
2156,37,Milwaukee Area Technical College,-11812
620,38,Western Technical College,-11809
1784,39,Berea College,-11631
873,40,University of Connecticut,-11521
1207,41,University of Hawaii Maui College,-11422
1121,42,Madison Area Technical College,-11139
619,43,Fox Valley Technical College,-11093
535,44,Yeshiva University,-10937
797,45,University of Alaska Fairbanks,-10836
1862,46,CUNY Medgar Evers College,-10388
700,47,Brigham Young University-Hawaii,-10198
1225,48,Northwestern University,-10165
22,49,Texas State Technical College,-10149
1282,50,Baltimore City Community College,-10135
2200,51,Southwest Wisconsin Technical College,-10124
1144,52,University of Wyoming,-9980
819,53,University of California-Davis,-9954
2177,54,University of Puerto Rico-Rio Piedras,-9950
1206,55,Honolulu Community College,-9794
710,56,Hawaii Community College,-9739
963,57,Robeson Community College,-9673
433,58,CUNY Hostos Community College,-9489
622,59,Northeast Wisconsin Technical College,-9445
2124,60,Augusta University,-9406
1468,61,College of the Ozarks,-9328
611,62,Brigham Young University-Provo,-9096
1840,63,CUNY Bronx Community College,-9053
821,64,University of California-San Diego,-9035
170,65,Chicago State University,-8960
1579,66,University of Florida,-8892
1720,67,Windward Community College,-8820
1498,68,SUNY College at Potsdam,-8802
2171,69,Chippewa Valley Technical College,-8753
1717,70,University of Hawaii at Hilo,-8713
353,71,University at Buffalo,-8694
2195,72,Casper College,-8685
1508,73,University of Puerto Rico-Humacao,-8527
656,74,Northcentral Technical College,-8434
1868,75,Morrisville State College,-8260
864,76,College of Marin,-8252
560,77,Brunswick Community College,-8252
1440,78,Grinnell College,-8242
1835,79,CUNY John Jay College of Criminal Justice,-8192
1166,80,University of Puerto Rico-Mayaguez,-8001
459,81,Bard College,-7883
247,82,Northeast Iowa Community College,-7844
1409,83,CUNY York College,-7717
835,84,Dine College,-7634
385,85,SUNY College at Brockport,-7593
121,86,College of the Redwoods,-7568
1155,87,Moraine Park Technical College,-7536
730,88,Del Mar College,-7524
952,89,Elizabeth City State University,-7472
211,90,University of Alaska Southeast,-7463
2186,91,Mid-State Technical College,-7456
1119,92,University of Washington-Seattle Campus,-7450
1407,93,CUNY Lehman College,-7430
388,94,University of Rochester,-7377
1595,95,Northeastern Illinois University,-7360
72,96,City College of San Francisco,-7354
172,97,City Colleges of Chicago-Malcolm X College,-7329
56,98,University of Alabama at Birmingham,-7285
1923,99,Case Western Reserve University,-7250
1712,100,Eastern Illinois University,-7240
1726,101,Northwestern Connecticut Community College,-7207
1395,102,University of New Mexico-Main Campus,-7052
1417,103,Columbia-Greene Community College,-7026
274,104,Coppin State University,-7008
1392,105,Western Nebraska Community College,-6971
599,106,The University of Texas at Austin,-6925
1858,107,CUNY New York City College of Technology,-6912
1666,108,Capital Community College,-6892
2257,109,Copper Mountain Community College,-6840
1870,110,SUNY College of Technology at Alfred,-6838
951,111,Wilkes Community College,-6822
1374,112,University of Nevada-Reno,-6818
1064,113,Oglala Lakota College,-6783
1546,114,Barstow Community College,-6777
76,115,College of the Desert,-6731
1524,116,University of California-Irvine,-6721
100,117,Colorado Mountain College,-6708
1606,118,Hawkeye Community College,-6663
143,119,Mendocino College,-6636
1910,120,University of North Dakota,-6634
1150,121,Western Wyoming Community College,-6615
1454,122,Southern Illinois University-Carbondale,-6608
1084,123,College of the Mainland,-6594
271,124,Richland Community College,-6524
1660,125,Mission College,-6503
1188,126,City Colleges of Chicago-Kennedy-King College,-6499
558,127,Carteret Community College,-6487
176,128,Governors State University,-6481
1495,129,SUNY at Albany,-6469
1342,130,Chesapeake College,-6465
1859,131,CUNY Queensborough Community College,-6431
387,132,SUNY at Fredonia,-6415
133,133,College of the Siskiyous,-6394
841,134,Aims Community College,-6352
861,135,West Valley College,-6286
957,136,Haywood Community College,-6275
142,137,Asnuntuck Community College,-6272
1751,138,Roxbury Community College,-6259
416,139,Santa Fe Community College,-6243
1400,140,CUNY Borough of Manhattan Community College,-6243
1672,141,Los Angeles Southwest College,-6223
1286,142,Southeast Kentucky Community and Technical College,-6203
1732,143,University of Kansas,-6194
