school.name,2013.earnings.6_yrs_after_entry.median,2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall,2013.earnings.6_yrs_after_entry.working_not_enrolled.mean_earnings,2013.earnings.6_yrs_after_entry.working_not_enrolled.overall,2013.earnings.6_yrs_after_entry.working_not_enrolled.std_dev
Erie Community College,25600.0,611.0,27900.0,4747.0,18600.0
Norco College,,,,,
Middle Georgia State University,25000.0,161.0,27700.0,1321.0,19000.0
DeVry University-Illinois,31800.0,5572.0,36700.0,33995.0,28100.0
University of North Georgia,33100.0,91.0,34900.0,1189.0,20900.0
Central Georgia Technical College,20200.0,418.0,23000.0,1700.0,15700.0
College of Western Idaho,,,,,
Texas State Technical College,,,,,
University of Phoenix-Arizona,,,,,
Georgia Military College,,,,,
South Louisiana Community College,24100.0,87.0,28400.0,561.0,21400.0
University of California-Merced,31600.0,,36600.0,120.0,28800.0
Folsom Lake College,22300.0,224.0,26000.0,637.0,19900.0
University of Arkansas,35300.0,250.0,39200.0,2947.0,31500.0
California State University-Fullerton,33300.0,752.0,36300.0,7485.0,24000.0
American River College,22100.0,1416.0,27700.0,3825.0,23900.0
California State University-San Bernardino,31000.0,508.0,35500.0,4254.0,28700.0
California State University-Chico,34800.0,362.0,39400.0,3958.0,27800.0
California State University-Bakersfield,34000.0,253.0,37100.0,2102.0,25400.0
California State University-Stanislaus,31700.0,230.0,35700.0,2265.0,24600.0
Azusa Pacific University,38600.0,123.0,44600.0,1654.0,33600.0
Cabrillo College,22500.0,406.0,27600.0,1458.0,23700.0
University of Alabama at Birmingham,34000.0,248.0,38300.0,2665.0,29800.0
University of Alabama in Huntsville,35500.0,139.0,39200.0,1258.0,25800.0
Mesa Community College,28600.0,773.0,31300.0,3755.0,21900.0
Pima Community College,24300.0,1103.0,27500.0,4934.0,19500.0
Scottsdale Community College,30400.0,287.0,33700.0,1341.0,23200.0
Phoenix College,25900.0,426.0,28600.0,1849.0,20000.0
GateWay Community College,32100.0,259.0,36000.0,1367.0,24600.0
Rio Salado College,30700.0,729.0,33300.0,2592.0,24400.0
University of California-Santa Barbara,36000.0,442.0,39500.0,4054.0,26000.0
University of California-Berkeley,46000.0,775.0,53300.0,5076.0,45900.0
California State University-East Bay,39200.0,394.0,42700.0,3145.0,29000.0
City College of San Francisco,24900.0,1009.0,29900.0,3581.0,24500.0
College of the Canyons,25500.0,172.0,32700.0,950.0,40400.0
De Anza College,30900.0,351.0,35300.0,1647.0,26300.0
Cosumnes River College,22600.0,419.0,26000.0,1429.0,19400.0
College of the Desert,24000.0,203.0,27700.0,1119.0,20100.0
Evergreen Valley College,23500.0,304.0,27400.0,1237.0,21700.0
Cuyamaca College,20300.0,253.0,24800.0,662.0,21400.0
Grossmont College,23400.0,445.0,27400.0,1718.0,21100.0
Fresno City College,19300.0,1386.0,23600.0,5287.0,20100.0
Golden West College,23200.0,299.0,28500.0,1305.0,24600.0
Irvine Valley College,24900.0,150.0,30000.0,517.0,26100.0
Hartnell College,23200.0,197.0,26500.0,993.0,18800.0
Pulaski Technical College,22200.0,544.0,25000.0,2689.0,18700.0
Antelope Valley College,19400.0,958.0,24300.0,2325.0,20800.0
University of Arkansas-Fort Smith,27600.0,257.0,30300.0,1920.0,20500.0
Allan Hancock College,21800.0,229.0,25500.0,898.0,19900.0
College of Alameda,22200.0,198.0,26500.0,641.0,22200.0
San Diego State University,36100.0,752.0,39400.0,7860.0,26000.0
Riverside City College,22900.0,1004.0,27200.0,4406.0,21400.0
University of Colorado Boulder,35700.0,463.0,39800.0,4626.0,31200.0
Broward College,25600.0,971.0,28600.0,6500.0,19600.0
Embry-Riddle Aeronautical University-Daytona Beach,45000.0,167.0,49300.0,2642.0,30400.0
Eastern Florida State College,23800.0,442.0,26100.0,2185.0,18500.0
College of Central Florida,23500.0,303.0,26700.0,1588.0,21400.0
Metropolitan State University of Denver,32000.0,756.0,34000.0,5117.0,22300.0
Front Range Community College,28800.0,538.0,31900.0,2925.0,22200.0
Gateway Community College,24900.0,239.0,28600.0,1428.0,21400.0
Delaware Technical Community College-Terry,25400.0,129.0,28000.0,813.0,19400.0
Yale University,60700.0,90.0,74600.0,936.0,64700.0
University of San Francisco,47000.0,156.0,54700.0,1513.0,41100.0
San Joaquin Delta College,21200.0,1014.0,25600.0,3203.0,21600.0
San Joaquin Valley College-Visalia,23500.0,1083.0,28100.0,4829.0,22900.0
Saddleback College,26800.0,153.0,31700.0,672.0,26100.0
Loyola Marymount University,43400.0,110.0,51500.0,1359.0,44700.0
San Diego Miramar College,26400.0,182.0,30100.0,818.0,23100.0
MiraCosta College,22100.0,161.0,25900.0,642.0,21700.0
Modesto Junior College,20700.0,824.0,25100.0,2601.0,20500.0
Arapahoe Community College,32000.0,234.0,34500.0,1304.0,23600.0
Santa Monica College,22000.0,583.0,26300.0,2635.0,21900.0
Victor Valley College,19700.0,749.0,24700.0,2098.0,21100.0
Santa Rosa Junior College,26100.0,399.0,31800.0,1403.0,26100.0
College of San Mateo,27300.0,137.0,34200.0,605.0,48000.0
Community College of Denver,25600.0,454.0,28500.0,1819.0,20700.0
Central Connecticut State University,37100.0,159.0,38200.0,2638.0,21000.0
Sacred Heart University,44700.0,58.0,46100.0,1227.0,25600.0
Post University,31200.0,91.0,34000.0,703.0,24600.0
Merritt College,23200.0,181.0,30600.0,603.0,31900.0
State College of Florida-Manatee-Sarasota,24600.0,480.0,27200.0,2664.0,18600.0
University of South Florida-Main Campus,34600.0,866.0,36400.0,9058.0,25000.0
St Petersburg College,27000.0,883.0,30300.0,4783.0,21000.0
Santa Fe College,26100.0,485.0,29300.0,3217.0,21000.0
The University of West Florida,30000.0,251.0,31300.0,2330.0,19700.0
Valencia College,25100.0,957.0,27900.0,7271.0,19500.0
Georgia State University,33700.0,631.0,36200.0,5494.0,23400.0
Brigham Young University-Idaho,28700.0,1225.0,33200.0,3960.0,26200.0
Southwestern Illinois College,20800.0,513.0,24100.0,2590.0,17600.0
University of Idaho,30100.0,209.0,33900.0,2513.0,25700.0
Pensacola State College,22400.0,434.0,25900.0,2050.0,21100.0
Polk State College,25200.0,183.0,28100.0,1361.0,20300.0
Elgin Community College,28600.0,201.0,31600.0,1429.0,20900.0
City Colleges of Chicago-Wilbur Wright College,24400.0,277.0,27600.0,1599.0,19300.0
Armstrong State University,31900.0,181.0,34800.0,1642.0,24700.0
Columbus State University,28200.0,183.0,30500.0,1605.0,22100.0
University of Illinois at Urbana-Champaign,44200.0,353.0,49000.0,5814.0,39100.0
Illinois Central College,25000.0,388.0,27800.0,2395.0,20800.0
John C Calhoun State Community College,22800.0,438.0,26200.0,2446.0,21500.0
Jacksonville State University,27200.0,238.0,30300.0,2194.0,22300.0
University of South Alabama,30900.0,325.0,34300.0,2702.0,23100.0
University of Arizona,34800.0,597.0,39500.0,5860.0,31500.0
Central Arizona College,23700.0,192.0,27100.0,940.0,21000.0
Western Illinois University,33400.0,216.0,35000.0,3821.0,19000.0
Ivy Tech Community College,25600.0,762.0,27600.0,4771.0,18100.0
