school.name,school.instructional_expenditure_per_fte,school.tuition_revenue_per_fte
Erie Community College,4861,2980
Norco College,3336,674
Middle Georgia State University,6462,3049
DeVry University-Illinois,5125,19278
University of North Georgia,4975,4649
Central Georgia Technical College,4546,1483
College of Western Idaho,4413,3034
Texas State Technical College,14598,4449
University of Phoenix-Arizona,2126,12246
Georgia Military College,2812,3829
South Louisiana Community College,3935,1785
University of California-Merced,9172,9657
Folsom Lake College,3595,717
University of Arkansas,9362,7866
California State University-Fullerton,7752,5731
American River College,3479,451
California State University-San Bernardino,6913,3870
California State University-Chico,6918,4819
California State University-Bakersfield,6446,2924
California State University-Stanislaus,8276,4671
Azusa Pacific University,9984,18037
Cabrillo College,6690,1012
University of Alabama at Birmingham,17548,10263
University of Alabama in Huntsville,10619,8917
Mesa Community College,5063,2148
Pima Community College,4262,1763
Scottsdale Community College,6815,2417
Phoenix College,5178,1413
GateWay Community College,5953,2359
Rio Salado College,2397,2665
University of California-Santa Barbara,11639,13678
University of California-Berkeley,21934,18432
California State University-East Bay,7227,6597
City College of San Francisco,8783,1429
College of the Canyons,4794,918
De Anza College,4742,1697
Cosumnes River College,3419,465
College of the Desert,7531,800
Evergreen Valley College,5301,687
Cuyamaca College,4173,498
Grossmont College,4285,371
Fresno City College,4251,416
Golden West College,3681,1024
Irvine Valley College,3561,1352
Hartnell College,4813,385
Pulaski Technical College,3918,1638
Antelope Valley College,4125,318
University of Arkansas-Fort Smith,5743,2468
Allan Hancock College,4368,645
College of Alameda,4422,1265
San Diego State University,7098,7103
Riverside City College,4555,740
University of Colorado Boulder,15174,18327
Broward College,3972,1327
Embry-Riddle Aeronautical University-Daytona Beach,16076,28796
Eastern Florida State College,4197,1744
College of Central Florida,4067,1219
Metropolitan State University of Denver,5585,6198
Front Range Community College,4000,5343
Gateway Community College,7873,2613
Delaware Technical Community College-Terry,8476,4973
Yale University,111600,16395
University of San Francisco,16055,27182
San Joaquin Delta College,3932,466
San Joaquin Valley College-Visalia,4885,8720
Saddleback College,3950,1745
Loyola Marymount University,16208,30462
San Diego Miramar College,4953,486
MiraCosta College,4731,1128
Modesto Junior College,3455,510
Arapahoe Community College,4317,5584
Santa Monica College,4848,2583
Victor Valley College,5317,382
Santa Rosa Junior College,6371,1139
College of San Mateo,7091,1352
Community College of Denver,3790,4480
Central Connecticut State University,10814,7684
Sacred Heart University,8062,20066
Post University,2776,12649
Merritt College,4207,1318
State College of Florida-Manatee-Sarasota,3656,2503
University of South Florida-Main Campus,9275,6669
St Petersburg College,4541,1994
Santa Fe College,3881,2368
The University of West Florida,5801,5729
Valencia College,2943,1963
Georgia State University,7646,7355
Brigham Young University-Idaho,4327,2611
Southwestern Illinois College,4544,3274
University of Idaho,11339,8766
Pensacola State College,4896,1439
Polk State College,4671,1719
Elgin Community College,8026,2406
City Colleges of Chicago-Wilbur Wright College,4130,1272
Armstrong State University,6295,5109
Columbus State University,7781,6390
University of Illinois at Urbana-Champaign,14212,14395
Illinois Central College,4923,3641
John C Calhoun State Community College,4041,3114
Jacksonville State University,7201,6218
University of South Alabama,10307,7986
University of Arizona,11633,13981
Central Arizona College,7099,1306
Western Illinois University,12174,7393
Ivy Tech Community College,3805,2101
Indiana Wesleyan University-Marion,4194,10658
Northern Illinois University,13294,7669
Des Moines Area Community College,5954,2095
University of Iowa,14748,13757
University of Massachusetts-Boston,12917,12800
University of Maryland-University College,3330,9569
Holyoke Community College,6272,3575
Montgomery College,7616,3758
Prince George's Community College,6607,3303
Anne Arundel Community College,8198,3358
Wichita State University,7564,7705
Butler Community College,3502,2887
Jefferson Community and Technical College,4230,2179
Murray State University,8276,8052
