school.name,2015.student.size,location.lat,location.lon,school.state
Erie Community College,10027,42.881771,-78.872679,NY
Norco College,8104,33.91675,-117.568201,CA
Middle Georgia State University,7225,32.81039,-83.732361,GA
DeVry University-Illinois,16211,41.94122,-87.691051,IL
University of North Georgia,16048,34.530527,-83.986574,GA
Central Georgia Technical College,6811,32.54502,-83.667531,GA
College of Western Idaho,6951,43.614106,-116.507314,ID
Texas State Technical College,8160,31.632364,-97.084073,TX
University of Phoenix-Arizona,129139,33.40225,-111.966181,AZ
Georgia Military College,6840,33.07865,-83.224401,GA
South Louisiana Community College,5640,30.21822,-92.051241,LA
University of California-Merced,6237,37.366237,-120.424944,CA
Folsom Lake College,7966,38.662599,-121.126697,CA
University of Arkansas,21815,36.06153,-94.178214,AR
California State University-Fullerton,33009,33.883627,-117.885349,CA
American River College,26760,38.649734,-121.346012,CA
California State University-San Bernardino,17518,34.182987,-117.322508,CA
California State University-Chico,15903,39.728003,-121.846333,CA
California State University-Bakersfield,8068,35.350005,-119.104711,CA
California State University-Stanislaus,8093,37.52577,-120.852511,CA
Azusa Pacific University,5883,34.130865,-117.88795,CA
Cabrillo College,11696,36.9891,-121.927926,CA
University of Alabama at Birmingham,11269,33.50223,-86.80917,AL
University of Alabama in Huntsville,5829,34.722818,-86.63842,AL
Mesa Community College,17717,33.391256,-111.871494,AZ
Pima Community College,19859,32.221737,-110.887033,AZ
Scottsdale Community College,6998,33.509489,-111.887298,AZ
Phoenix College,9745,33.481361,-112.088293,AZ
GateWay Community College,5019,33.4495,-111.996527,AZ
Rio Salado College,7515,33.413138,-111.975201,AZ
University of California-Santa Barbara,20606,34.416281,-119.846404,CA
University of California-Berkeley,27496,37.871969,-122.260423,CA
California State University-East Bay,12981,37.65707,-122.058073,CA
City College of San Francisco,21619,37.725953,-122.451155,CA
College of the Canyons,16628,34.403121,-118.569524,CA
De Anza College,20047,37.319176,-122.045365,CA
Cosumnes River College,13315,38.453836,-121.422971,CA
College of the Desert,9516,33.732484,-116.38761,CA
Evergreen Valley College,7313,37.301736,-121.766686,CA
Cuyamaca College,7748,32.743072,-116.941044,CA
Grossmont College,16285,32.816077,-117.007292,CA
Fresno City College,19180,36.767516,-119.795129,CA
Golden West College,11102,33.733775,-118.003036,CA
Irvine Valley College,11499,33.675079,-117.778575,CA
Hartnell College,10384,36.673052,-121.668763,CA
Pulaski Technical College,6844,34.78243,-92.299729,AR
Antelope Valley College,12286,34.676207,-118.186166,CA
University of Arkansas-Fort Smith,5754,35.385345,-94.374073,AR
Allan Hancock College,9437,34.942979,-120.421486,CA
College of Alameda,5486,37.78239,-122.279261,CA
San Diego State University,28649,32.77525,-117.071228,CA
Riverside City College,17010,33.971481,-117.38054,CA
University of Colorado Boulder,26496,40.004415,-105.267061,CO
Broward College,38474,26.07972,-80.23541,FL
Embry-Riddle Aeronautical University-Daytona Beach,5247,29.189244,-81.0495,FL
Eastern Florida State College,12266,28.384791,-80.75813,FL
College of Central Florida,6670,29.166079,-82.175692,FL
Metropolitan State University of Denver,19649,39.742248,-105.002391,CO
Front Range Community College,14848,39.901757,-105.039359,CO
Gateway Community College,6825,41.30432,-72.927191,CT
Delaware Technical Community College-Terry,12106,39.198371,-75.56012,DE
Yale University,5528,41.311158,-72.926688,CT
University of San Francisco,6682,37.775564,-122.450977,CA
San Joaquin Delta College,15208,37.994643,-121.317226,CA
San Joaquin Valley College-Visalia,5605,36.328049,-119.384981,CA
Saddleback College,17879,33.551925,-117.664876,CA
Loyola Marymount University,6162,33.970633,-118.415655,CA
San Diego Miramar College,11557,32.909546,-117.120888,CA
MiraCosta College,14197,33.191231,-117.302283,CA
Modesto Junior College,16280,37.652042,-121.009723,CA
Arapahoe Community College,6860,39.607505,-105.018631,CO
Santa Monica College,28136,34.018968,-118.470431,CA
Victor Valley College,9817,34.472231,-117.261456,CA
Santa Rosa Junior College,19537,38.45416,-122.720689,CA
College of San Mateo,7679,37.534357,-122.336078,CA
Community College of Denver,7076,39.74142,-105.003007,CO
Central Connecticut State University,9693,41.690258,-72.770094,CT
Sacred Heart University,5109,41.221548,-73.24461,CT
Post University,6170,41.535334,-73.080525,CT
Merritt College,5818,37.789088,-122.167335,CA
State College of Florida-Manatee-Sarasota,9014,27.436066,-82.591739,FL
University of South Florida-Main Campus,30282,28.056647,-82.415876,FL
